,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
264,Brazos County,TX,194851,24.93,16.18,1.42,2.23,48041
265,Breathitt County,KY,13878,35.77,22.72,5.71,13.82,21025
266,Breckinridge County,KY,20059,17.49,21.56,2.63,5.7,21027
267,Bremer County,IA,24276,9.17,19.04,0.89,1.64,19017
268,Brevard County,FL,543376,12.83,16.31,1.64,3.5,12009
269,Brewster County,TX,9232,12.45,16.1,1.69,4.29,48043
270,Briscoe County,TX,1637,15.63,22.11,1.47,4.76,48045
271,Bristol Bay Borough,AK,997,5.79,22.57,4.21,2.41,2060
272,Bristol County,MA,548285,11.45,16.14,2.18,3.37,25005
273,Bristol County,RI,49875,7.77,17.55,2.33,3.15,44001
274,Bristol city,VA,17835,22.69,14.91,4.25,6.92,51520
275,Broadwater County,MT,5612,7.0,18.14,0.73,1.59,30007
276,Bronx County,NY,1385108,28.8,0.3,0.13,0.07,36005
277,Brooke County,WV,24069,13.4,16.72,2.54,4.41,54009
278,Brookings County,SD,31965,17.17,17.65,1.43,1.65,46011
279,Brooks County,GA,16243,26.61,20.72,1.84,6.07,13027
280,Brooks County,TX,7223,38.48,20.39,2.89,9.15,48047
281,Broome County,NY,200600,17.67,14.68,2.94,4.01,36007
282,Broomfield County,CO,55889,4.65,21.19,0.88,1.1,8014
283,Broward County,FL,1748066,13.34,12.6,1.31,2.62,12011
284,Brown County,IL,6937,10.6,9.44,1.05,1.07,17009
285,Brown County,IN,15242,9.4,20.64,0.89,2.36,18013
286,Brown County,KS,9984,14.27,21.63,1.14,3.39,20013
287,Brown County,MN,25893,7.7,16.51,1.42,1.92,27015
288,Brown County,NE,3145,15.2,9.73,0.73,0.76,31017
289,Brown County,OH,44846,16.01,23.23,2.01,4.95,39015
290,Brown County,SD,36531,11.81,19.19,1.84,1.75,46013
291,Brown County,TX,38106,15.13,21.51,1.66,4.04,48049
292,Brown County,WI,248007,10.48,19.02,1.28,2.53,55009
293,Brule County,SD,5255,17.77,22.65,2.04,4.09,46015
294,Brunswick County,NC,107431,13.22,17.43,1.62,4.88,37019
295,Brunswick County,VA,17434,18.77,17.8,3.03,7.36,51025
296,Bryan County,GA,30233,14.49,26.45,1.59,2.7,13029
297,Bryan County,OK,42416,16.89,19.13,1.64,4.19,40013
298,Buchanan County,IA,20958,9.59,24.35,2.06,3.43,19019
299,Buchanan County,MO,89201,16.8,19.04,2.74,4.28,29021
300,Buchanan County,VA,24098,27.57,17.63,3.04,8.03,51027
301,Buckingham County,VA,17146,17.16,18.7,2.03,5.02,51029
302,Bucks County,PA,625249,6.06,18.37,1.22,1.53,42017
303,Buena Vista County,IA,20260,13.09,17.68,1.03,3.28,19021
304,Buena Vista city,VA,6650,20.07,21.38,1.67,5.25,51530
305,Buffalo County,NE,46102,15.06,18.6,1.37,2.27,31019
306,Buffalo County,SD,1912,39.15,31.69,2.67,11.3,46017
307,Buffalo County,WI,13587,9.39,18.92,1.44,2.77,55011
308,Bullitt County,KY,74319,10.63,22.4,0.78,3.01,21029
309,Bulloch County,GA,70217,31.55,18.93,1.77,5.42,13031
