state,county,name,lat,lon
CA,Santa Barbara,"Santa Barbara, CA",34.537378,-120.038485
CA,Santa Clara,"Santa Clara, CA",37.220777,-121.690622
CA,Santa Cruz,"Santa Cruz, CA",37.012488,-122.007205
CA,Shasta,"Shasta, CA",40.760522,-122.04355
CA,Sierra,"Sierra, CA",39.576925,-120.521993
CA,Siskiyou,"Siskiyou, CA",41.587986,-122.533287
CA,Solano,"Solano, CA",38.267226,-121.939594
CA,Sonoma,"Sonoma, CA",38.532574,-122.945194
CA,Stanislaus,"Stanislaus, CA",37.562384,-121.002656
CA,Sutter,"Sutter, CA",39.035257,-121.702758
CA,Tehama,"Tehama, CA",40.126156,-122.232276
CA,Trinity,"Trinity, CA",40.647724,-123.114404
CA,Tulare,"Tulare, CA",36.230453,-118.780542
CA,Tuolumne,"Tuolumne, CA",38.021451,-119.964708
CA,Ventura,"Ventura, CA",34.358742,-119.133143
CA,Yolo,"Yolo, CA",38.679268,-121.903178
CA,Yuba,"Yuba, CA",39.270026,-121.34428
CO,Adams,"Adams, CO",39.874325,-104.331872
CO,Alamosa,"Alamosa, CO",37.568442,-105.788041
CO,Arapahoe,"Arapahoe, CO",39.644632,-104.331733
CO,Archuleta,"Archuleta, CO",37.202395,-107.050863
CO,Baca,"Baca, CO",37.303144,-102.535457
CO,Bent,"Bent, CO",37.931891,-103.077584
CO,Boulder,"Boulder, CO",40.094826,-105.398382
CO,Broomfield,"Broomfield, CO",39.953383,-105.052125
CO,Chaffee,"Chaffee, CO",38.738246,-106.316972
CO,Cheyenne,"Cheyenne, CO",38.835387,-102.604585
CO,Clear Creek,"Clear Creek, CO",39.689403,-105.670791
CO,Conejos,"Conejos, CO",37.213407,-106.176447
CO,Costilla,"Costilla, CO",37.277547,-105.42894
CO,Crowley,"Crowley, CO",38.321956,-103.787562
CO,Custer,"Custer, CO",38.101994,-105.373515
CO,Delta,"Delta, CO",38.861756,-107.864757
CO,Denver,"Denver, CO",39.761849,-104.880625
CO,Dolores,"Dolores, CO",37.747602,-108.530383
CO,Douglas,"Douglas, CO",39.326435,-104.926199
CO,Eagle,"Eagle, CO",39.630638,-106.692944
CO,Elbert,"Elbert, CO",39.310817,-104.117928
CO,El Paso,"El Paso, CO",38.827383,-104.527472
CO,Fremont,"Fremont, CO",38.455658,-105.421438
CO,Garfield,"Garfield, CO",39.599352,-107.90978
CO,Gilpin,"Gilpin, CO",39.861082,-105.528947
CO,Grand,"Grand, CO",40.123289,-106.095876
CO,Gunnison,"Gunnison, CO",38.669679,-107.078108
CO,Hinsdale,"Hinsdale, CO",37.811625,-107.383405
CO,Huerfano,"Huerfano, CO",37.687815,-104.959928
CO,Jackson,"Jackson, CO",40.663432,-106.329248
CO,Jefferson,"Jefferson, CO",39.58646,-105.245601
CO,Kiowa,"Kiowa, CO",38.388466,-102.75621
CO,Kit Carson,"Kit Carson, CO",39.30534,-102.603023
CO,Lake,"Lake, CO",39.204316,-106.349696
CO,La Plata,"La Plata, CO",37.287367,-107.839718
CO,Larimer,"Larimer, CO",40.663091,-105.482131
CO,Las Animas,"Las Animas, CO",37.318831,-104.04411
CO,Lincoln,"Lincoln, CO",38.99374,-103.507555
CO,Logan,"Logan, CO",40.728091,-103.090464
CO,Mesa,"Mesa, CO",39.019492,-108.461837
CO,Mineral,"Mineral, CO",37.651478,-106.9323
CO,Moffat,"Moffat, CO",40.573984,-108.204521
CO,Montezuma,"Montezuma, CO",37.338025,-108.595786
CO,Montrose,"Montrose, CO",38.413427,-108.263042
CO,Morgan,"Morgan, CO",40.262354,-103.807092
CO,Otero,"Otero, CO",37.88417,-103.72126
CO,Ouray,"Ouray, CO",38.1506,-107.767133
CO,Park,"Park, CO",39.118914,-105.717648
CO,Phillips,"Phillips, CO",40.594712,-102.345105
CO,Pitkin,"Pitkin, CO",39.217533,-106.915943
CO,Prowers,"Prowers, CO",37.958181,-102.392161
CO,Pueblo,"Pueblo, CO",38.170658,-104.489893
CO,Rio Blanco,"Rio Blanco, CO",39.972606,-108.200685
CO,Rio Grande,"Rio Grande, CO",37.485763,-106.453214
CO,Routt,"Routt, CO",40.48316,-106.985289
CO,Saguache,"Saguache, CO",38.033952,-106.246675
CO,San Juan,"San Juan, CO",37.781075,-107.670257
CO,San Miguel,"San Miguel, CO",38.009374,-108.427326
CO,Sedgwick,"Sedgwick, CO",40.871568,-102.355358
CO,Summit,"Summit, CO",39.621023,-106.137555
CO,Teller,"Teller, CO",38.871994,-105.182552
CO,Washington,"Washington, CO",39.965413,-103.209605
CO,Weld,"Weld, CO",40.555794,-104.383649
CO,Yuma,"Yuma, CO",40.000631,-102.422649
CT,Fairfield [6],"Fairfield [6], CT",41.228103,-73.366757
CT,Hartford [6],"Hartford [6], CT",41.806053,-72.732916
CT,Litchfield [6],"Litchfield [6], CT",41.791897,-73.235428
CT,Middlesex [6],"Middlesex [6], CT",41.434525,-72.524227
CT,New Haven [6],"New Haven [6], CT",41.349717,-72.900204
CT,New London [6],"New London [6], CT",41.47863,-72.103452
CT,Tolland [6],"Tolland [6], CT",41.858076,-72.340977
CT,Windham [6],"Windham [6], CT",41.824999,-71.990702
DE,Kent,"Kent, DE",39.097088,-75.502982
DE,New Castle,"New Castle, DE",39.575915,-75.644132
DE,Sussex,"Sussex, DE",38.677511,-75.335495
DC,District of Columbia [7],"District of Columbia [7], DC",38.904149,-77.017094
FL,Alachua,"Alachua, FL",29.67574,-82.357221
FL,Baker,"Baker, FL",30.324442,-82.302284
